"Order Name","Created at","Source Name","Total Discounts","Order Status","Total Product","Store","Carrier Status Code","Cancel Reason","Sales Program","Giới tính","Funnel","Category","Sub-category","Price","Subtotal Price","month"
"100643","7/1/2023","Zalo","0","prepared","1","37 Nguyễn Văn Huyên","prepared","","Đặt trước","Chị","","Áo (mùa hè)","Áo dây","180000","180000","7"
"100656","7/1/2023","Facebook","0","cancel","1","Kho Online","cancel","Khách suy nghĩ thêm","","Chị","","Daily use","Blazer","450000","450000","7"
"100660","7/1/2023","Facebook","0","cancel","1","37 Nguyễn Văn Huyên","cancel","Trả góp không thành công","Đặt trước","Chị","","Daily use","Blazer","450000","450000","7"
"100676","7/1/2023","Facebook","0","cancel","1","Kho Online","cancel","Đơn hàng spam","","Chị","","Váy","Chân váy","310000","310000","7"
"100706","7/1/2023","Trực tiếp - Cửa hàng","300000","complete","1","37 Nguyễn Văn Huyên","complete","","Mua tại quầy","Chị","","Daily use","Blazer","450000","450000","7"
"100725","7/1/2023","Hotline","0","complete","1","27 Khâm Thiên","complete","","Đặt trước","Chị","","Daily use","Blazer","450000","450000","7"
"100728","7/1/2023","Hotline","0","prepared","1","37 Nguyễn Văn Huyên","prepared","","Đặt trước","Chị","","Áo (mùa hè)","Áo phông","300000","300000","7"
"100735","7/1/2023","Trực tiếp - Cửa hàng","0","complete","1","89 Láng Hạ","complete","","Mua tại quầy","Chị","","Váy","Chân váy","310000","310000","7"
"100742","7/1/2023","Facebook","0","complete","1","Kho Online","complete","","Hãng vận chuyển","Chị","","Daily use","Blazer","450000","450000","7"
"100769","7/1/2023","Instagram","0","prepared","1","Kho Online","prepared","","Đặt trước","Chị","","Daily use","Blazer","450000","450000","7"
"100776","7/1/2023","Facebook","0","complete","1","Kho Online","complete","","Hãng vận chuyển","Chị","","Quần","Quần ống rộng","380000","380000","7"
"100788","7/1/2023","Facebook","299000","confirmed","1","KHO ĐƠN HÀNG","confirmed","","Hãng vận chuyển","Chị","","Váy","Chân váy","310000","310000","7"
"100805","7/1/2023","Facebook","0","complete","1","Kho Online","complete","","Hãng vận chuyển","Chị","","Váy","Chân váy","310000","310000","7"
"100810","7/1/2023","Hotline","0","prepared","1","37 Nguyễn Văn Huyên","prepared","","Đặt trước","Chị","","Áo (mùa hè)","Áo phông","300000","300000","7"
"100811","7/1/2023","Hotline","0","complete","1","37 Nguyễn Văn Huyên","complete","","Đặt trước","Chị","","Quần","Quần ống rộng","380000","380000","7"
"100822","7/1/2023","Hotline","0","complete","1","37 Nguyễn Văn Huyên","complete","","Đặt trước","Chị","","Quần","Quần ống rộng","380000","380000","7"
"100836","7/1/2023","Facebook","0","complete","1","Kho Online","complete","","Đặt trước","Chị","","Quần","Quần ống rộng","380000","380000","7"
"100852","7/1/2023","Hotline","0","prepared","1","37 Nguyễn Văn Huyên","prepared","","Đặt trước","Chị","","Váy","Chân váy","310000","310000","7"
